Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Can be ignored
1610179200000,39639.21000000,40790.00000000,39290.86000000,40348.35000000,6735.40873600,1610186399999,270793208.30717304,194129,3493.79476100,140473836.04923155,0
1610186400000,40348.36000000,41237.44000000,40105.51000000,40565.77000000,7813.34780500,1610193599999,317711345.32165274,195639,4195.65597400,170625207.08716732,0
1610193600000,40565.77000000,41222.00000000,40410.01000000,41051.65000000,6550.85865400,1610200799999,267609406.73915218,171394,3329.73760400,136084472.10469872,0
1610200800000,41051.66000000,41380.00000000,40200.00000000,40525.15000000,7232.21435600,1610207999999,295355376.22305549,173199,3286.86275800,134302796.27698320,0
1610208000000,40525.16000000,40649.96000000,39869.00000000,40421.40000000,6147.74820400,1610215199999,247678891.34058033,163587,2816.77799000,113523596.83070040,0
1610215200000,40421.40000000,40880.00000000,40417.36000000,40665.91000000,3973.30717300,1610222399999,161669099.89167193,108602,1854.54024900,75463125.34594053,0
1610222400000,40665.91000000,40781.69000000,40050.00000000,40718.80000000,5764.46119500,1610229599999,233605742.57766567,160737,2631.91357400,106684733.19073777,0
1610229600000,40718.81000000,40743.47000000,39928.91000000,40088.22000000,5228.78804800,1610236799999,210498231.31873089,140877,2218.14369700,89299023.67857153,0
1610236800000,40088.22000000,41350.00000000,40087.15000000,41141.56000000,6996.30444600,1610243999999,285564356.52693588,189116,4008.48914700,163625734.09308987,0
1610244000000,41141.55000000,41145.21000000,40250.00000000,40316.64000000,4831.14125800,1610251199999,197037690.11624912,125416,2288.38875800,93381381.17406201,0
1610251200000,40320.67000000,40665.23000000,40050.00000000,40451.84000000,4831.47591600,1610258399999,195329922.30033368,135881,2368.89433000,95781646.76740856,0
1610258400000,40451.74000000,41073.26000000,40350.00000000,40978.57000000,4338.37522400,1610265599999,177142438.11389871,131664,2312.08766100,94420006.34335628,0
1610265600000,40978.57000000,41060.00000000,40555.00000000,40768.48000000,5058.89008200,1610272799999,206556489.58634001,154328,2149.35708600,87750092.69379431,0
1610272800000,40768.30000000,40850.00000000,38888.00000000,39181.76000000,13764.39822100,1610279999999,548890631.06691339,293113,5526.30873000,220340343.41567013,0
1610280000000,39175.09000000,40126.00000000,38450.00000000,39800.90000000,10729.25344200,1610287199999,423525993.35643377,223585,4833.95208400,190901167.93641585,0
1610287200000,39800.89000000,39934.76000000,39062.91000000,39671.81000000,6419.41624200,1610294399999,254011706.25497475,158282,3143.57196400,124401018.06820962,0
1610294400000,39671.82000000,39757.55000000,37200.00000000,38571.86000000,15783.73415200,1610301599999,607342928.08457644,301486,7158.23606300,275723760.54637969,0
1610301600000,38571.95000000,38778.00000000,37111.00000000,37456.77000000,10323.17400200,1610308799999,393256813.55073380,239032,4848.40584200,184836895.36199021,0
1610308800000,37472.40000000,38288.17000000,35111.11000000,38055.30000000,26599.38937700,1610315999999,986948325.34845669,477598,12711.86941600,472013568.73191236,0
1610316000000,38052.58000000,39000.00000000,37852.09000000,38150.02000000,8533.99214100,1610323199999,328427435.20122396,198549,4101.78359200,157801281.69573848,0
1610323200000,38150.02000000,38264.74000000,36501.00000000,37237.66000000,11784.89095700,1610330399999,439580206.07459149,238509,6244.07127500,232701861.00748919,0
1610330400000,37237.67000000,37411.00000000,33600.00000000,35438.23000000,25549.93314600,1610337599999,905991516.22789230,448973,11884.09382400,422007366.97111425,0
1610337600000,35438.23000000,35999.95000000,34300.00000000,34904.73000000,16653.73879200,1610344799999,587088841.38126577,333744,8101.18190400,285581394.54786795,0
1610344800000,34904.73000000,34904.73000000,32538.00000000,34375.34000000,28437.31998800,1610351999999,958775936.49407251,480247,13775.02143100,464782123.30237391,0
1610352000000,34372.25000000,35919.86000000,34249.00000000,35765.98000000,12057.89489800,1610359199999,426663184.21038206,247219,6095.07619600,215719344.57651966,0
1610359200000,35765.98000000,36360.00000000,34020.00000000,34198.56000000,13412.82640200,1610366399999,472743108.42055448,270101,6518.28862200,229778469.47285292,0
1610366400000,34198.55000000,35110.00000000,32700.00000000,32813.71000000,22698.64395200,1610373599999,767621258.80646847,386346,10573.34375300,357890336.67797124,0
1610373600000,32808.92000000,33770.11000000,31115.00000000,31580.00000000,34423.10140100,1610380799999,1118538990.25682660,522264,17431.36212100,566720141.67939551,0
1610380800000,31582.82000000,33585.17000000,30420.00000000,32839.87000000,36702.16606500,1610387999999,1163386070.34484956,582900,17573.76602000,557311281.75651377,0
1610388000000,32848.96000000,33300.00000000,31215.00000000,32254.62000000,14474.09597700,1610395199999,469471096.36227356,289984,7445.80440700,241670363.39507339,0
1610395200000,32254.63000000,34466.00000000,31408.07000000,33968.09000000,18344.92532000,1610402399999,608482085.45680244,346868,9528.66081400,316384808.70267404,0
1610402400000,33962.22000000,35638.55000000,33650.00000000,35404.47000000,14592.00304500,1610409599999,508537476.70403127,284296,6962.73582300,242568790.85545581,0
1610409600000,35410.37000000,35547.19000000,33880.00000000,34289.30000000,11699.47875100,1610416799999,407101424.95280329,240310,5901.68511000,205413111.34894399,0
1610416800000,34289.30000000,34998.94000000,33677.03000000,34984.96000000,8456.58342700,1610423999999,290664016.17081167,192142,4171.49173400,143374739.31738674,0
1610424000000,34984.95000000,35889.00000000,34520.69000000,35882.68000000,9074.13346800,1610431199999,319513505.98858365,201152,4673.17828300,164562409.22876108,0
1610431200000,35882.68000000,36628.00000000,35617.67000000,36413.60000000,12746.79181000,1610438399999,460052605.01161151,232380,6380.64054200,230285925.68006323,0
1610438400000,36413.60000000,36499.98000000,35370.21000000,35925.76000000,8921.65442800,1610445599999,320569094.72875955,195417,4351.07010600,156327635.56736845,0
1610445600000,35925.76000000,36150.71000000,34757.00000000,35410.99000000,11207.92975800,1610452799999,395955383.68417772,229630,5390.93214000,190461032.78796895,0
1610452800000,35410.99000000,35688.82000000,33250.00000000,33291.06000000,14437.73477800,1610459999999,498835936.96398670,241332,6443.07673700,222768095.45774351,0
1610460000000,33286.00000000,34285.71000000,32531.00000000,33829.40000000,18492.80989100,1610467199999,620140067.39489231,315834,9062.85976800,303970668.14135743,0
1610467200000,33829.40000000,35289.67000000,33819.11000000,35012.53000000,11626.75625200,1610474399999,403699706.65707362,225193,5677.26383200,197170483.96931204,0
1610474400000,35012.54000000,35550.00000000,34178.89000000,34685.11000000,7864.29315800,1610481599999,274444111.72310983,171947,3989.22354000,139343662.11789458,0
1610481600000,34686.10000000,34877.28000000,33730.00000000,34719.03000000,9088.68037200,1610488799999,310873654.76245412,202375,4175.15687900,142808119.22531785,0
1610488800000,34721.74000000,35051.02000000,33260.74000000,34051.24000000,10331.30590300,1610495999999,349452915.44585238,226433,4881.73152500,165246595.98793376,0
1610496000000,34049.15000000,34049.15000000,32380.00000000,33124.06000000,15506.99689400,1610503199999,511827645.50625293,258647,7307.60588300,241185576.79761373,0
1610503200000,33125.30000000,34375.51000000,32566.55000000,33818.50000000,11917.98743100,1610510399999,399143697.39369281,210901,6105.15306500,204617380.93300156,0
1610510400000,33818.50000000,33910.00000000,32800.00000000,33321.75000000,7358.62059600,1610517599999,245148005.04897997,155714,3787.03819100,126179700.68445964,0
1610517600000,33321.76000000,35180.67000000,33212.12000000,34986.90000000,11387.68837800,1610524799999,389498672.61880060,246241,6320.52819600,216251445.96432430,0
1610524800000,34986.90000000,35107.47000000,34200.00000000,34343.62000000,10468.01878000,1610531999999,363083031.15902231,195015,5405.34592100,187549414.16739427,0
1610532000000,34343.62000000,35250.00000000,34242.15000000,34385.48000000,10743.77293000,1610539199999,373449225.56208231,220142,5576.30462000,193956419.35261936,0
1610539200000,34385.48000000,34787.24000000,34017.00000000,34575.50000000,7249.97711200,1610546399999,249323634.21108598,161608,3578.61589800,123075391.82677683,0
1610546400000,34575.51000000,35100.00000000,34200.00000000,34673.90000000,8852.37085400,1610553599999,306849258.45903251,183586,4417.83254300,153251118.87982623,0
1610553600000,34673.90000000,35000.00000000,34388.53000000,34821.48000000,5785.42487200,1610560799999,201062947.83044007,148727,3055.25061700,106222113.74361969,0
1610560800000,34821.47000000,36188.00000000,34720.00000000,36002.25000000,11961.77667800,1610567999999,426585586.17458713,232121,6827.94601300,243308239.67515586,0
1610568000000,36002.24000000,37427.00000000,35704.21000000,37299.49000000,13200.11913400,1610575199999,481638457.65241249,262203,6885.31921200,251175839.64502785,0
1610575200000,37291.25000000,37850.00000000,36827.02000000,37371.38000000,10045.16127900,1610582399999,375266444.80323675,239384,4714.09814700,176100049.70209274,0
1610582400000,37371.38000000,38172.22000000,37362.49000000,37451.13000000,9241.31098600,1610589599999,348599487.31082234,210183,4722.00620800,178137859.85273070,0
1610589600000,37451.13000000,37729.62000000,37000.00000000,37045.13000000,6897.16280500,1610596799999,257681075.83640854,147460,3439.66189600,128549314.52235318,0
1610596800000,37045.13000000,37800.00000000,36701.23000000,37529.11000000,6763.96513000,1610603999999,252505340.31771693,135999,3244.74710300,121137479.19471136,0
1610604000000,37529.11000000,38596.92000000,37440.00000000,38198.34000000,9000.38995000,1610611199999,343007752.90131114,181388,4659.43590100,177655960.28701570,0
1610611200000,38199.52000000,38786.10000000,37862.04000000,37938.11000000,7488.51576700,1610618399999,287355487.36486383,193951,3701.25787700,142081179.09472439,0
1610618400000,37938.10000000,38622.60000000,37869.10000000,38365.86000000,6166.18176200,1610625599999,235833494.18810529,172266,3117.40030200,119250642.33403162,0
1610625600000,38365.86000000,39000.00000000,37707.00000000,38977.66000000,8791.92475400,1610632799999,337514748.84415796,208329,4451.86321400,171098942.63021884,0
1610632800000,38977.98000000,40100.00000000,38788.19000000,39546.01000000,17188.38416800,1610639999999,679724247.80435014,315701,7961.34754800,314884661.52524144,0
1610640000000,39546.01000000,40000.00000000,39212.15000000,39429.81000000,8630.58268900,1610647199999,342168412.65696645,195225,4201.10287300,166612967.75854012,0
1610647200000,39429.25000000,39919.11000000,39258.10000000,39876.98000000,6108.06113700,1610654399999,241551041.49869934,135077,3430.08283000,135684585.44637627,0
1610654400000,39876.97000000,39935.10000000,38259.25000000,38780.47000000,10259.44012800,1610661599999,399409379.31044616,220941,5053.56879700,196719775.92001032,0
1610661600000,38782.41000000,39330.92000000,38276.00000000,39144.50000000,6414.47014500,1610668799999,249476170.11124062,180946,3281.99254300,127629224.48404552,0
1610668800000,39145.21000000,39747.76000000,39012.12000000,39175.74000000,6681.43317700,1610675999999,263503493.89064466,148346,3279.72792600,129361054.81462033,0
1610676000000,39175.73000000,39479.65000000,38450.00000000,38700.00000000,6292.30386500,1610683199999,245369840.40216059,156938,3142.98496700,122567426.05524491,0
1610683200000,38700.00000000,38853.09000000,37808.00000000,37808.90000000,6426.13971100,1610690399999,246980867.76717087,144447,2857.37713000,109873163.91770916,0
1610690400000,37808.90000000,38483.82000000,37554.94000000,38473.08000000,7891.67096700,1610697599999,300272501.72021784,175168,3782.38590700,143913359.29739079,0
1610697600000,38473.07000000,38718.02000000,38016.17000000,38679.36000000,6470.47259200,1610704799999,248506987.00898463,181511,3367.33046900,129354250.40817110,0
1610704800000,38677.24000000,38780.00000000,37923.00000000,38108.88000000,5252.94205200,1610711999999,201367948.83717455,153976,2419.77341900,92789245.09371094,0
1610712000000,38108.87000000,38194.04000000,37200.00000000,37683.94000000,10603.79724500,1610719199999,398639356.34731632,223977,5164.20638500,194106353.32398959,0
1610719200000,37683.93000000,37786.74000000,35258.00000000,35610.72000000,18225.62765800,1610726399999,666015782.57942664,348067,8961.46197300,327471818.12411150,0
1610726400000,35610.79000000,36400.00000000,34408.00000000,35947.31000000,23817.79533000,1610733599999,847449932.21636027,415701,11653.48258400,414815353.17638021,0
1610733600000,35947.31000000,36433.51000000,34812.23000000,35217.26000000,11187.64402100,1610740799999,398198433.08792803,236789,5479.05029300,195258157.72235144,0
1610740800000,35218.94000000,36431.75000000,34801.15000000,36234.05000000,9812.12792800,1610747999999,349024809.57059621,225001,5009.19373600,178360967.80203647,0
1610748000000,36233.76000000,36888.00000000,35950.63000000,36742.22000000,5638.96637000,1610755199999,206258945.25365592,150880,2621.05943100,95852663.02414579,0
1610755200000,36737.43000000,37669.00000000,36724.17000000,37005.86000000,8271.40607700,1610762399999,308086705.18439195,179455,4237.42667800,157817645.95840054,0
1610762400000,37003.76000000,37227.16000000,35852.93000000,36532.92000000,7724.86684200,1610769599999,281971145.45986334,163511,3838.92870500,140165435.73759992,0
1610769600000,36532.92000000,36700.00000000,35520.00000000,35854.37000000,6096.67167000,1610776799999,219913937.74213194,132596,2606.42308700,94113303.18376376,0
